fc,sent_type,quantifier,verb,category,group,token,sentence
11,T5,all,know,reptile,A,alligator,Zoologists know that all alligators are reptiles
8,T2,some,know,insect,A,wasp,Zoologists know that some insects are wasps
12,T6,all,know,reptile,A,crocodile,Zoologists know that all crocodiles are birds
9,T3,some,know,insect,A,cockroach,Zoologists know that some cockroaches are mammals
10,T4,all,know,reptile,A,chameleon,Zoologists know that all chameleon are reptiles
7,T1,some,know,insect,A,cicada,Zoologists know that some cicadas are insects
11,T5,all,know,reptile,A,iguana,Zoologists know that all iguanas are reptiles
8,T2,some,know,insect,A,ant,
12,T6,all,know,reptile,A,lizard,
9,T3,some,know,insect,A,fly,
10,T4,all,know,reptile,A,gecko,
7,T1,some,know,insect,A,mosquito,
11,T5,all,know,fish,B,anchovy,
8,T2,some,know,mammal,B,cat,
12,T6,all,know,fish,B,carp,
9,T3,some,know,mammal,B,horse,
10,T4,all,know,fish,B,cod,
7,T1,some,know,mammal,B,dog,
11,T5,all,know,fish,B,piranha,
8,T2,some,know,mammal,B,pig,
12,T6,all,know,fish,B,mackerel,
9,T3,some,know,mammal,B,elephant,
10,T4,all,know,fish,B,herring,
7,T1,some,know,mammal,B,sheep,
11,T5,all,know,fruit,C,strawberry,
8,T2,some,know,bird,C,eagle,
12,T6,all,know,fruit,C,banana,
9,T3,some,know,bird,C,canary,
10,T4,all,know,fruit,C,apple,
7,T1,some,know,bird,C,crow,
11,T5,all,know,fruit,C,peach,
8,T2,some,know,bird,C,owl,
12,T6,all,know,fruit,C,pear,
9,T3,some,know,bird,C,sparrow,
10,T4,all,know,fruit,C,plum,
7,T1,some,know,bird,C,dove,