Token,MatchingCategory,MismatchingCategory,A,B,C,D,E,F,G,H,I
salmon,fishes,birds,1,9,8,7,6,5,4,3,2
tunas,fishes,birds,2,1,9,8,7,6,5,4,3
trouts,fishes,birds,3,2,1,9,8,7,6,5,4
cobras,reptiles,mammals,4,3,2,1,9,8,7,6,5
tortoises,reptiles,mammals,5,4,3,2,1,9,8,7,6
pythons,reptiles,mammals,6,5,4,3,2,1,9,8,7
parrots,birds,reptiles,7,6,5,4,3,2,1,9,8
pigeons,birds,reptiles,8,7,6,5,4,3,2,1,9
vultures,birds,reptiles,9,8,7,6,5,4,3,2,1
bear,mammals,fruit,1,9,8,7,6,5,4,3,2
monkey,mammals,fruit,2,1,9,8,7,6,5,4,3
cow,mammals,fruit,3,2,1,9,8,7,6,5,4
tick,insects,fishes,4,3,2,1,9,8,7,6,5
beetle,insects,fishes,5,4,3,2,1,9,8,7,6
bee,insects,fishes,6,5,4,3,2,1,9,8,7
watermellon,fruits,insects,7,6,5,4,3,2,1,9,8
kiwi,fruits,insects,8,7,6,5,4,3,2,1,9
orange,fruits,insects,9,8,7,6,5,4,3,2,1